,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
0,12.16,9,5.48,4.66,4.18,3.52,3.26,3.04,3.02,3,2.92,2.96,3.12,3.68,4.46,4.74,6.7,8.4,10.2
10,9.38,8.02,4.88,4.26,4.08,3.36,3.06,3.02,3.02,2.88,2.88,2.94,3.2,3.52,4.24,4.94,6.16,8.52,9.48
20,7.24,6.64,5.24,4.4,3.88,3.3,2.92,3,3,2.88,2.84,3.18,3.26,3.56,4.08,4.54,5.12,5.78,6.88
30,5.98,4.98,5.3,4.76,3.9,3.62,3.22,3.06,3,3.04,3,3.18,3.28,3.48,3.5,4.1,4.7,4.72,4.72
40,4.96,4.3,4.06,4.4,4.04,3.4,3.32,3.16,3.06,3.04,2.9,2.94,3.26,3.48,3.52,3.48,3.86,4.06,4.12
50,4.1,4.56,4.22,4.02,3.72,3.22,3.14,3.02,2.92,2.8,2.92,2.86,3.1,3.42,3.38,3.8,3.66,3.66,3.46
60,4.3,4.06,3.96,3.88,3.66,3.88,3.54,3.2,3.22,2.88,2.9,2.98,3.3,3.62,3.38,3.88,3.56,3.46,3.42
70,4.03,4.2,4.28,4.3,3.82,3.52,3.38,3.14,2.84,2.78,2.92,2.9,3.16,3.22,3.66,3.48,3.4,3.34,3.28
80,3.86,4.16,4.4,4.2,4.16,4.12,3.66,3.14,3.22,3.08,3.14,3.28,3.54,3.44,3.54,3.42,3.22,3.2,3.1
90,3.7,3.94,3.78,3.86,4.06,4.02,3.7,3.42,3.1,3.12,3.3,3.14,3.54,3.5,3.4,3.58,3.52,3.44,3.42
100,4.06,3.76,3.9,3.62,4.1,3.78,3.78,3.44,3.2,3.2,3.26,3.32,3.72,3.64,3.4,3.62,3.3,3.44,3.6
110,4,4.04,4.12,3.96,3.88,3.74,3.5,3.14,2.94,2.88,2.92,2.94,3.22,3.28,3.42,3.66,3.5,3.52,3.3
120,4.2,4.12,3.98,3.78,3.64,3.56,3.3,3.12,3.06,2.78,3.08,2.96,3.24,3.46,3.48,3.66,3.58,3.46,3.48
130,3.66,3.62,3.44,3.66,3.48,3.38,3.16,3.1,3,2.82,3.04,2.98,3.18,3.24,3.42,3.5,3.9,3.64,3.86
140,4.26,4.34,4.28,4.1,4.24,3.88,3.42,2.8,2.84,2.72,2.76,3.06,3.14,3.5,3.64,4.1,4,3.94,4
150,5.26,4.62,4.92,4.64,4.1,3.44,3.3,3.02,2.88,3,2.8,2.92,3.06,3.5,3.48,4.22,4.44,4.4,4.98
160,6.36,6.1,5.02,4.6,4.08,3.5,3.42,3,2.86,2.72,2.8,2.88,3,3.3,3.68,4.28,4.88,5.4,6.54
170,9,7.38,5.8,4.62,4.24,3.68,3.32,2.98,3.04,2.82,2.92,3,3.12,3.48,4.06,4.52,5.12,8.1,9.22
